cluster_id|rank|b_id|b_name|score
1|1|70027400-4|1A IGLESIA DE CRISTO DE SANTIAGO|0.72
1|1|70027400-4|1A IGLESIA DE CRISTO DE SANTIAGO|0.72
1|2|75990140-1|PRIMERA IGLESIA EVANGELICA BAUTISTA DE SANTIAGO DE CHILE|0.6675
1|2|75990140-1|PRIMERA IGLESIA EVANGELICA BAUTISTA DE SANTIAGO DE CHILE|0.6675
1|3|65001270-4|IGLESIA EVANGELICA BAUTISTA DE NUNOA|0.6353
1|3|65001270-4|IGLESIA EVANGELICA BAUTISTA DE NUNOA|0.6353
2|1|77631174-K|SUBTERRÁNEO SPA|0.7257
2|1|77631174-K|SUBTERRÁNEO SPA|0.7257
2|2|76199071-3|RESTAURANTE SUBTERRANEO LIMITADA|0.5313
2|2|76199071-3|RESTAURANTE SUBTERRANEO LIMITADA|0.5313
2|3|77920290-9|SOC COMERCIAL SUBTERRANEO LIMITADA|0.3955
2|3|77920290-9|SOC COMERCIAL SUBTERRANEO LIMITADA|0.3955
3|1|76565948-5|110KM SPA|1.0
3|1|92580000-7|EMPRESA NACIONAL DE TELECOMUNICACIONES S A|0.7139
3|2|76634037-7|110 SPA|0.5594
3|2|95017000-K|TELECOMUNICACIONES DE CHILE S A|0.5513
3|3|77424804-8|111 SPA|0.4504
3|3|76262288-2|EMPRESA NACIONAL DE INTEGRACIONES EN TELECOMUNICACIONES SOCIEDAD ANONIMA|0.5238
4|1|92580000-7|EMPRESA NACIONAL DE TELECOMUNICACIONES S A|0.7139
4|1|79711700-5|ESMERALDA SOCIEDAD ANONIMA|0.7388
4|2|95017000-K|TELECOMUNICACIONES DE CHILE S A|0.5513
4|2|76426640-4|ESMERALDA S.A.|0.7388
4|3|76262288-2|EMPRESA NACIONAL DE INTEGRACIONES EN TELECOMUNICACIONES SOCIEDAD ANONIMA|0.5238
4|3|96755660-2|TRANSPORTES ESMERALDA S.A.|0.7234
5|1|96675150-9|INMOBILIARIA EBRO S A|1.0
5|1|99512770-9|2 D ELECTRONICA S A|1.0
5|2|78078000-2|SOC INMOBILIARIA EBRO S A|0.842
5|2|79516160-0|ELECTRONICA NACIONAL S A|0.5827
5|3|96757360-4|INMOBILIARIA E INVERSIONES EBRO S A|0.8168
5|3|77903160-8|ELECTRONICA Y SOLUCIONES S.A.|0.5614
6|1|79711700-5|ESMERALDA SOCIEDAD ANONIMA|0.7388
6|2|76426640-4|ESMERALDA S.A.|0.7388
6|3|96755660-2|TRANSPORTES ESMERALDA S.A.|0.7234
7|1|76045126-6|AVS ELECTRONICA S.A.|0.5988
7|1|76928191-6|LA FRESCURA SOCIEDAD DE RESPONSABILIDAD LIMITADA|0.541
7|2|76094651-6|LIMIT SEGURIDAD ELECTRONICA S.A.|0.5567
7|2|76399044-3|SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA CENTRO VIVE VIDA SALUD INTEGRAL L|0.5278
7|3|96547600-8|CENTRO DE ELECTRONICA APLICADA S A|0.5428
7|3|77399714-4|AGUAS PUQ SOCIEDAD DE RESPONSABILIDAD LIMITADA|0.4944
8|1|76359727-K|2080 INMOBILIARIA SPA|1.0
8|2|76416959-K|2080 TRANSPORTES SPA.|0.6708
8|3|77240922-2|INMOBILIARIA 2020 SPA|0.6251
9|1|76514121-4|23.5 GRADOS INVERSIONES LIMITADA|1.0
9|2|78002710-K|SOC DE INVERSIONES GRADOS LIMITADA|0.6213
9|3|76418903-5|INMOBILIARIA E INVERSIONES LATITUD TREINTA GRADOS SUR LIMITADA|0.4491
10|1|77428028-6|2806201220141028 SPA|1.0
10|2|78003356-8|2814GRAF SPA|0.3785
10|3|76635739-3|TALLER 2821 SPA|0.2749
12|1|77882143-5|SOCIEDAD HOTELERA DE RESPONSABILIDAD LIMITADA|0.5458
12|2|76928191-6|LA FRESCURA SOCIEDAD DE RESPONSABILIDAD LIMITADA|0.541
12|3|76388911-4|PROVEEDORES INTEGRALES PARA LA OFICINA PUNTOMARKET SOCIEDAD DE RESPONSABILIDAD L|0.5314
13|1|76048672-8|360 MOBILE SPA|1.0
13|2|76272608-4|360 CHILE SPA|0.7414
13|3|76319844-8|360 INMOBILIARIA SPA|0.7051
14|1|77564197-5|LOS CUARZOS SPA|0.7313
14|2|77494006-5|CUARZOS PRANA SPA|0.5877
14|3|77210408-1|G & G CUARZOS Y GRANITOS SPA|0.5542
15|1|76232353-2|3D PRODUCCIONES DANNYA ESPINOZA GAETE E.I.R.L.|0.8796
15|1|78019770-6|A A P INVERSIONES S.A.|0.4602
15|2|76308675-5|SILVA ESPINOZA PRODUCCIONES LIMITADA|0.6527
15|2|77474929-2|INGENIERIA Y MONTAJE AAP SPA|0.3423
15|3|76027205-1|SP PRODUCCIONES SPA|0.6032
16|1|76172646-3|3DEL ARQUITECTURA Y GESTION SPA|1.0
16|1|77495960-2|A & S TECNOLOGIAS COMPUTACIONALES LIMITADA|0.7347
16|2|76769286-2|BE ARQUITECTURA Y GESTION SPA|0.7994
16|2|77668267-5|A & S CONSTRUCCIONES SPA|0.5495
